Paper Title,Authors,Publisher / Journal / Conference,Year,Abstract Summary,Method Used,Result,Limitations,Future Work,Source Link / DOI
Design and Build a System for Illegal Logging Detection Based on Acoustic Signal and Automatic Warning Using LoRA Network,"Phuong Quang Nguyen, Duyen Thi My Truong, Van-Thanh Huynh, Thuong H. N. Nguyen, Quyet M. Le",Unknown Source,2023,"The situation of illegal logging is severe in many countries, especially in Vietnam-a tropical country with more than 40% [1] of forest cover. Illegal logging contributes directly to global warming, natural disasters, and many other negative impacts on our world. However, this problem can be reduced and even prevented with proper and effective monitoring solutions. In this work, we proposed and designed a low-cost, long-lasting operation time and scalable device based on STM32F746 microcontroller and EdgeAI for illegal logging detection based on acoustic signal and LoRa for long range wireless communication. The device uses a microphone to capture short audio samples periodically, then executes audio preprocessing and processing using deep learning to perform audio recognition. Once an illegal logging is detected, the device can send warnings to users through a web interface built on the ThingsBoard IoT platform. We are able to achieve an accuracy of over 90% when evaluating the device with a large amount of audio samples not belong to the training dataset. By power consumption calculation and simulation, we proved that the device can operate independently in more than 1 month without charging.",See abstract for proposed approach/methodology.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/icsse58758.2023.10227201
Acoustic Surveillance Intrusion Detection with Linear Predictive Coding and Random Forest,"Marina Yusoff, Amirul Sadikin Md. Afendi",Communications in computer and information science,2018,No abstract available.,Described in full text/abstract.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1007/978-981-13-3441-2_6
Design and Performance Evaluation of an Ultralow-Power Smart IoT Device With Embedded TinyML for Asset Activity Monitoring,"Marco Giordano, Nicolas Baumann, Michele Crabolu, Raphael Fischer, Giovanni Bellusci et al.",IEEE Transactions on Instrumentation and Measurement,2022,"This article proposes a proof-of-concept device to continuously assess the usage of handheld power tools and detect construction working tasks (e.g., different drilling works) along with potential misusages, e.g., drops, with an energy-efficient architecture design. The designed device is based on Bluetooth low energy (BLE) and NFC connectivity. BLE is used to exchange data with a gateway, whereas NFC has been chosen as an energy-efficient wake-up mechanism. A temperature and humidity sensor is embedded to monitor storage conditions and an accelerometer for tool usage monitoring. The ARM Cortex-M4 core embedded in the BLE module is exploited to process the information at the edge. A Tiny Machine Learning (TinyML) algorithm is proposed to process the data directly on board and achieve low latency and high energy efficiency. The TinyML algorithm has been developed embedded in the proposed device to detect four different usage classes (tool transportation, no-load, metal, and wood drilling). A dataset containing more than 280 min of three-axis accelerations during different activities has been acquired with the device attached to a construction rotary hammer drill and used to train and validate the algorithm. A neural architecture search has been performed to optimize the trade-off between accuracy and complexity, achieving an accuracy of 90.6% with a model size of roughly 30 kB. The experimental results showed an ultralow power consumption in sleep mode of 550 nA and a peak power consumption of 8 mA while running TinyML on the edge. This results in a balanced combination of edge processing capabilities and low power consumption, enabling to obtain a smart Internet of Things (IoT) device in the field with a long lifetime of up to four years in operation and 17 years in shelf mode with a standard 250-mAh coin battery. This work enables a long battery lifetime operation of device degradation and utility analysis, further closing the gap between edge processing and fine granularity data evaluation.",See abstract for proposed approach/methodology.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/tim.2022.3165816
A Methodological Literature Review of Acoustic Wildlife Monitoring Using Artificial Intelligence Tools and Techniques,"Sandhya Sharma, Kazuhiko Sato, Bishnu Prasad Gautam",Sustainability,2023,"Artificial intelligence (AI) has become a significantly growing field in the environmental sector due to its ability to solve problems, make decisions, and recognize patterns. The significance of AI in wildlife acoustic monitoring is particularly important because of the vast amounts of data that are available in this field, which can be leveraged for computer vision and interpretation. Despite the increasing use of AI in wildlife ecology, its future in acoustic wildlife monitoring remains uncertain. To assess its potential and identify future needs, a scientific literature review was conducted on 54 works published between 2015 and March 2022. The results of the review showed a significant rise in the utilization of AI techniques in wildlife acoustic monitoring over this period, with birds (N = 26) gaining the most popularity, followed by mammals (N = 12). The most commonly used AI algorithm in this field was Convolutional Neural Network, which was found to be more accurate and beneficial than previous categorization methods in acoustic wildlife monitoring. This highlights the potential for AI to play a crucial role in advancing our understanding of wildlife populations and ecosystems. However, the results also show that there are still gaps in our understanding of the use of AI in wildlife acoustic monitoring. Further examination of previously used AI algorithms in bioacoustics research can help researchers better understand patterns and identify areas for improvement in autonomous wildlife monitoring. In conclusion, the use of AI in wildlife acoustic monitoring is a rapidly growing field with a lot of potential. While significant progress has been made in recent years, there is still much to be done to fully realize the potential of AI in this field. Further research is needed to better understand the limitations and opportunities of AI in wildlife acoustic monitoring, and to develop new algorithms that can improve the accuracy and usefulness of this technology.",See abstract for proposed approach/methodology.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.3390/su15097128
Towards the fully automated monitoring of ecological communities,"Marc Besson, Jamie Alison, Kim Bjerge, Thomas E. Gorochowski, Toke T. Høye et al.",Ecology Letters,2022,"High-resolution monitoring is fundamental to understand ecosystems dynamics in an era of global change and biodiversity declines. While real-time and automated monitoring of abiotic components has been possible for some time, monitoring biotic components-for example, individual behaviours and traits, and species abundance and distribution-is far more challenging. Recent technological advancements offer potential solutions to achieve this through: (i) increasingly affordable high-throughput recording hardware, which can collect rich multidimensional data, and (ii) increasingly accessible artificial intelligence approaches, which can extract ecological knowledge from large datasets. However, automating the monitoring of facets of ecological communities via such technologies has primarily been achieved at low spatiotemporal resolutions within limited steps of the monitoring workflow. Here, we review existing technologies for data recording and processing that enable automated monitoring of ecological communities. We then present novel frameworks that combine such technologies, forming fully automated pipelines to detect, track, classify and count multiple species, and record behavioural and morphological traits, at resolutions which have previously been impossible to achieve. Based on these rapidly developing technologies, we illustrate a solution to one of the greatest challenges in ecology: the ability to rapidly generate high-resolution, multidimensional and standardised data across complex ecologies.",Described in full text/abstract.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1111/ele.14123
Analysis of Distance and Environmental Impact on UAV Acoustic Detection,"Diana Tejera-Berengué, Fangfang Zhu-Zhou, Manuel Utrilla-Manso, Roberto Gil‐Pita, Manuel Rosa-Zurera",Electronics,2024,"This article explores the challenge of acoustic drone detection in real-world scenarios, with an emphasis on the impact of distance, to see how sound propagation affects drone detection. Learning machines of varying complexity are used for detection, ranging from simpler methods such as linear discriminant, multilayer perceptron, support vector machines, and random forest to more complex approaches based on deep neural networks like YAMNet. Our evaluation meticulously assesses the performance of these methods using a carefully curated database of a wide variety of drones and interference sounds. This database, processed through array signal processing and influenced by ambient noise, provides a realistic basis for our analyses. For this purpose, two different training strategies are explored. In the first approach, the learning machines are trained with unattenuated signals, aiming to preserve the inherent information of the sound sources. Subsequently, testing is then carried out under attenuated conditions at various distances, with interfering sounds. In this scenario, effective detection is achieved up to 200 m, which is particularly notable with the linear discriminant method. The second strategy involves training and testing with attenuated signals to consider different distances from the source. This strategy significantly extends the effective detection ranges, reaching up to 300 m for most methods and up to 500 m for the YAMNet-based detector. Additionally, this approach raises the possibility of having specialized detectors for specific distance ranges, significantly expanding the range of effective drone detection. Our study highlights the potential of drone acoustic detection at different distances and encourages further exploration in this research area. Unique contributions include the discovery that training with attenuated signals with a worse signal-to-noise ratio allows the improvement of the general performance of learning machine-based detectors, increasing the effective detection range achieved, and the feasibility of real-time detection, even with very complex learning machines, opening avenues for practical applications in real-world surveillance scenarios.",See abstract for proposed approach/methodology.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.3390/electronics13030643
The environmentality of digital acoustic monitoring: Emerging formations of spatial power in forests,"Max Ritts, Trishant Simlai, Jennifer Gabrys",Political Geography,2024,"The rise of digital acoustic monitoring is having transformative effects within forest conservation geographies and practices. By featuring divergent acoustic signals (a gunshot, a bird call) as its evidentiary basis for targeted acts of spatial intervention, digital acoustic monitoring promises to address myriad forest crises, from escalating poaching threats to biodiversity loss. More than a conservation tool, we assert that digital acoustic monitoring facilitates diverse manifestations of spatial governance that align with what Foucault (2008) termed “environmentality.” Our central objective is to analyze how digital acoustic monitoring gives rise to new spatial formations of power in forest conservation landscapes--and by extension, other acoustically monitored environments. While acknowledging the potential of digital acoustic monitoring to enhance forest conservation practices, we also find evidence that links its promise of algorithmically derived efficiency to expanded forms of scientific abstraction, militarized surveillance, and capitalist speculation that are propagating in multiple environments worldwide. By analyzing these developments as operations within digital environmentality, we offer a theoretical framework for engaging with these technologies and environments as they are now proliferating worldwide.",Described in full text/abstract.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1016/j.polgeo.2024.103074
Trees have Ears: An Acoustic Surveillance and TinyML-Based for Detecting Illegal Logging,"Ariel Lorenzo, Rodrigo Barien, Neil Darwin Favila, Dennis Basa, Jay M. Ventura et al.",Unknown Source,2024,"This study presents an innovative acoustic surveillance system utilizing TinyML to detect illegal logging in the rainforests of the Philippines. To overcome the limitations of traditional methods, the researchers integrated acoustic data capture with machine learning algorithms on the RP2040 microcontroller. Two feature extraction methods—spectrogram and Mel Filterbank Energy (MFE)—were compared for training machine learning models in both binary and multiclass sound classification tasks. The spectrogram-based binary model demonstrated exceptional accuracy, efficient resource utilization, and fast execution, making it ideal for resourceconstrained environments. Meanwhile, the MFE binary model excelled in real-world acoustic analysis and performed well in multiclass classification, achieving 84.4% accuracy at an 8 kHz sampling rate and 89.6% at 16 kHz. Furthermore, tests confirmed reliable chainsaw sound detection up to 20 meters away. These findings offer an effective solution for illegal logging detection and provide valuable insights into optimizing models based on context and hardware configurations. This system contributes significantly to global efforts in ecosystem monitoring and conservation.",See abstract for proposed approach/methodology.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/icaaeei63658.2024.10899158
Illegal Logging Listeners Using IoT Networks,"Ananta Srisuphab, Nopparat Kaakkurivaara, Piyanuch Silapachote, Kitipong Tangkit, Ponthep Meunpong et al.",Unknown Source,2020,"Protecting and increasing worldwide green space have been an international effort. Individuals and organizations are encouraged to plant urban trees and to get involved in many reforestation and restoration projects. Offsetting these much needed plans to save the forests is illegal logging. Trees that have grown for many years, some are protected resources inside restricted areas, are felled and the wood is smuggled. Watching for these illegal activities is very difficult and also very dangerous. It is quite impossible for rangers to patrol every entry and exit point of forests that cover thousands of squared kilometers. Applying Internet of Things technology to ecological forestry, we are proposing integrating sound acquisition networks and acoustic signal analyzers to enhance the robustness of an already successful camera-based surveillance solution that is also equipped with a global positioning system tracker. Our listener devices record sounds of the forest and periodically send it to a cloud storage over cellular networks. The device is affordable, the system is small and portable, and the network is flexibly extensible. From the data, acoustic features are extracted and visualized. The Mel-frequency cepstral coefficients of the signals have exhibited promising distinctiveness for detection of illegal chainsaw activities in the wild.",Described in full text/abstract.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/tencon50793.2020.9293935
Real-Time Flying Object Detection with YOLOv8,"Dillon Reis, Jordan Kupec, Jacqueline Hong, Ahmad Daoudi",arXiv (Cornell University),2023,"This paper presents a generalized model for real-time detection of flying objects that can be used for transfer learning and further research, as well as a refined model that achieves state-of-the-art results for flying object detection. We achieve this by training our first (generalized) model on a data set containing 40 different classes of flying objects, forcing the model to extract abstract feature representations. We then perform transfer learning with these learned parameters on a data set more representative of real world environments (i.e. higher frequency of occlusion, very small spatial sizes, rotations, etc.) to generate our refined model. Object detection of flying objects remains challenging due to large variances of object spatial sizes/aspect ratios, rate of speed, occlusion, and clustered backgrounds. To address some of the presented challenges while simultaneously maximizing performance, we utilize the current state-of-the-art single-shot detector, YOLOv8, in an attempt to find the best trade-off between inference speed and mean average precision (mAP). While YOLOv8 is being regarded as the new state-of-the-art, an official paper has not been released as of yet. Thus, we provide an in-depth explanation of the new architecture and functionality that YOLOv8 has adapted. Our final generalized model achieves a mAP50 of 79.2%, mAP50-95 of 68.5%, and an average inference speed of 50 frames per second (fps) on 1080p videos. Our final refined model maintains this inference speed and achieves an improved mAP50 of 99.1% and mAP50-95 of 83.5%",Described in full text/abstract.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.48550/arxiv.2305.09972
